section,row,seat,kind,notes
"Stalls, Left",A,1,obstructed,"Restricted view, proscenium pillar"
"Stalls, Left",A,2,standard,
"Stalls, Left",A,3,standard,
"Stalls, Left",A,4,standard,
"Stalls, Left",A,5,standard,
"Stalls, Left",A,6,standard,
"Stalls, Left",B,1,standard,
"Stalls, Left",B,2,standard,
"Stalls, Left",B,3,standard,
"Stalls, Left",B,4,standard,
"Stalls, Left",B,5,standard,
"Stalls, Left",B,6,standard,
"Stalls, Left",C,1,standard,
"Stalls, Left",C,2,standard,
"Stalls, Left",C,3,standard,
"Stalls, Left",C,4,standard,
"Stalls, Left",C,5,standard,
"Stalls, Left",C,6,standard,
"Stalls, Left",D,1,standard,
"Stalls, Left",D,2,standard,
"Stalls, Left",D,3,standard,
"Stalls, Left",D,4,standard,
"Stalls, Left",D,5,standard,
"Stalls, Left",D,6,standard,
"Stalls, Right",A,1,standard,
"Stalls, Right",A,2,standard,
"Stalls, Right",A,3,standard,
"Stalls, Right",A,4,standard,
"Stalls, Right",A,5,standard,
"Stalls, Right",A,6,obstructed,"Restricted view, proscenium pillar"
"Stalls, Right",B,1,standard,
"Stalls, Right",B,2,standard,
"Stalls, Right",B,3,standard,
"Stalls, Right",B,4,standard,
"Stalls, Right",B,5,standard,
"Stalls, Right",B,6,standard,
"Stalls, Right",C,1,standard,
"Stalls, Right",C,2,standard,
"Stalls, Right",C,3,standard,
"Stalls, Right",C,4,standard,
"Stalls, Right",C,5,standard,
"Stalls, Right",C,6,standard,
"Stalls, Right",D,1,standard,
"Stalls, Right",D,2,standard,
"Stalls, Right",D,3,standard,
"Stalls, Right",D,4,standard,
"Stalls, Right",D,5,standard,
"Stalls, Right",D,6,standard,
Stalls Centre,A,1,wheelchair,"Accessible bay, level access from the foyer"
Stalls Centre,A,2,companion,Companion seat for the adjacent wheelchair space
Stalls Centre,A,3,standard,
Stalls Centre,A,4,standard,
Stalls Centre,A,5,standard,
Stalls Centre,A,6,standard,
Stalls Centre,A,7,standard,
Stalls Centre,A,8,standard,
Stalls Centre,A,9,standard,
Stalls Centre,A,10,standard,
Stalls Centre,A,11,companion,Companion seat for the adjacent wheelchair space
